category,key,Region,Year,value,Rank,Score,St Error
Switzerland,Dystopia Residual,Western Europe,2015,2.51738,1,7.587,0.03411
Switzerland,Family,Western Europe,2015,1.34951,1,7.587,0.03411
Switzerland,Freedom,Western Europe,2015,0.66557,1,7.587,0.03411
Switzerland,GDP Capita,Western Europe,2015,1.39651,1,7.587,0.03411
Switzerland,Generosity,Western Europe,2015,0.29678,1,7.587,0.03411
Switzerland,Gov Corruption,Western Europe,2015,0.41978,1,7.587,0.03411
Switzerland,Life Expectancy,Western Europe,2015,0.94143,1,7.587,0.03411
